"Name","Version","License","URL"
"CacheControl","0.14.3","Apache-2.0","https://pypi.org/project/CacheControl/"
"Jinja2","3.1.6","BSD License","https://github.com/pallets/jinja/"
"MarkupSafe","3.0.3","BSD-3-Clause","https://github.com/pallets/markupsafe/"
"PyYAML","6.0.3","MIT License","https://pyyaml.org/"
"Pygments","2.19.2","BSD License","https://pygments.org"
"Werkzeug","3.1.6","BSD-3-Clause","https://github.com/pallets/werkzeug/"
"annotated-doc","0.0.4","MIT","https://github.com/fastapi/annotated-doc"
"annotated-types","0.7.0","MIT License","https://github.com/annotated-types/annotated-types"
"anyio","4.12.1","MIT","https://anyio.readthedocs.io/en/stable/versionhistory.html"
"attrs","25.4.0","MIT","https://www.attrs.org/en/stable/changelog.html"
"aws-cdk-lib","2.215.0","Apache-2.0","https://github.com/aws/aws-cdk"
"aws-cdk.asset-awscli-v1","2.2.242","Apache-2.0","https://github.com/cdklabs/awscdk-asset-awscli#readme"
"aws-cdk.asset-node-proxy-agent-v6","2.1.1","Apache-2.0","https://github.com/cdklabs/awscdk-asset-node-proxy-agent#readme"
"aws-cdk.aws-apigatewayv2-alpha","2.114.1a0","Apache-2.0","https://github.com/aws/aws-cdk"
"aws-cdk.aws-apigatewayv2-integrations-alpha","2.114.1a0","Apache-2.0","https://github.com/aws/aws-cdk"
"aws-cdk.cloud-assembly-schema","48.20.0","Apache-2.0","https://github.com/aws/aws-cdk"
"backports.asyncio.runner","1.2.0","Python Software Foundation License","https://github.com/samypr100/backports.asyncio.runner"
"boolean.py","5.0","BSD-2-Clause","https://github.com/bastikr/boolean.py"
"boto3","1.42.69","Apache-2.0","https://github.com/boto/boto3"
"botocore","1.42.69","Apache-2.0","https://github.com/boto/botocore"
"cattrs","25.3.0","MIT License","https://catt.rs"
"certifi","2026.2.25","Mozilla Public License 2.0 (MPL 2.0)","https://github.com/certifi/python-certifi"
"cffi","2.0.0","MIT","https://cffi.readthedocs.io/en/latest/whatsnew.html"
"charset-normalizer","3.4.6","MIT","https://github.com/jawah/charset_normalizer/blob/master/CHANGELOG.md"
"click","8.1.8","BSD License","https://github.com/pallets/click/"
"constructs","10.5.1","Apache-2.0","https://github.com/aws/constructs"
"cryptography","46.0.5","Apache-2.0 OR BSD-3-Clause","https://github.com/pyca/cryptography"
"cyclonedx-python-lib","9.1.0","Apache Software License","https://github.com/CycloneDX/cyclonedx-python-lib/#readme"
"defusedxml","0.7.1","Python Software Foundation License","https://github.com/tiran/defusedxml"
"exceptiongroup","1.3.1","MIT License","https://github.com/agronholm/exceptiongroup/blob/main/CHANGES.rst"
"fastapi","0.128.8","MIT","https://github.com/fastapi/fastapi"
"filelock","3.19.1","Unlicense","https://github.com/tox-dev/py-filelock"
"h11","0.16.0","MIT License","https://github.com/python-hyper/h11"
"httpcore","1.0.9","BSD-3-Clause","https://www.encode.io/httpcore/"
"httptools","0.7.1","MIT","https://github.com/MagicStack/httptools"
"httpx","0.28.1","BSD License","https://github.com/encode/httpx"
"hypothesis","6.141.1","MPL-2.0","https://hypothesis.works"
"idna","3.11","BSD-3-Clause","https://github.com/kjd/idna"
"importlib_resources","6.5.2","Apache Software License","https://github.com/python/importlib_resources"
"iniconfig","2.1.0","MIT","https://github.com/pytest-dev/iniconfig"
"jmespath","1.1.0","MIT License","https://github.com/jmespath/jmespath.py"
"jsii","1.127.0","Apache Software License","https://github.com/aws/jsii"
"license-expression","30.4.4","Apache-2.0","https://github.com/aboutcode-org/license-expression"
"markdown-it-py","3.0.0","MIT License","https://github.com/executablebooks/markdown-it-py"
"mdurl","0.1.2","MIT License","https://github.com/executablebooks/mdurl"
"moto","5.1.22","Apache-2.0","https://github.com/getmoto/moto"
"msgpack","1.1.2","Apache-2.0","https://msgpack.org/"
"packageurl-python","0.17.6","MIT License","https://github.com/package-url/packageurl-python"
"packaging","26.0","Apache-2.0 OR BSD-2-Clause","https://github.com/pypa/packaging"
"pillow","11.3.0","MIT-CMU","https://python-pillow.github.io"
"pip-api","0.0.34","Apache Software License","http://github.com/di/pip-api"
"pip-requirements-parser","32.0.1","MIT","https://github.com/nexB/pip-requirements-parser"
"pip_audit","2.9.0","Apache Software License","https://pypi.org/project/pip-audit/"
"platformdirs","4.4.0","MIT","https://github.com/tox-dev/platformdirs"
"pluggy","1.6.0","MIT License","UNKNOWN"
"publication","0.0.3","MIT License","https://github.com/glyph/publication"
"py-serializable","2.1.0","Apache Software License","https://github.com/madpah/serializable#readme"
"pycparser","2.23","BSD License","https://github.com/eliben/pycparser"
"pydantic","2.12.5","MIT","https://github.com/pydantic/pydantic"
"pydantic_core","2.41.5","MIT","https://github.com/pydantic/pydantic-core"
"pyparsing","3.3.2","MIT","https://github.com/pyparsing/pyparsing/"
"pytest","8.4.2","MIT License","https://docs.pytest.org/en/latest/"
"pytest-asyncio","1.2.0","Apache-2.0","https://github.com/pytest-dev/pytest-asyncio"
"python-dateutil","2.9.0.post0","Apache Software License; BSD License","https://github.com/dateutil/dateutil"
"python-dotenv","1.2.1","BSD-3-Clause","https://github.com/theskumar/python-dotenv"
"reportlab","4.4.10","BSD License","https://www.reportlab.com/"
"requests","2.32.5","Apache Software License","https://requests.readthedocs.io"
"responses","0.26.0","Apache 2.0","https://github.com/getsentry/responses"
"rich","14.3.3","MIT License","https://github.com/Textualize/rich"
"s3transfer","0.16.0","Apache Software License","https://github.com/boto/s3transfer"
"six","1.17.0","MIT License","https://github.com/benjaminp/six"
"sortedcontainers","2.4.0","Apache Software License","http://www.grantjenks.com/docs/sortedcontainers/"
"starlette","0.49.3","BSD-3-Clause","https://github.com/Kludex/starlette"
"toml","0.10.2","MIT License","https://github.com/uiri/toml"
"typeguard","2.13.3","MIT License","UNKNOWN"
"typing-inspection","0.4.2","MIT","https://github.com/pydantic/typing-inspection"
"typing_extensions","4.15.0","PSF-2.0","https://github.com/python/typing_extensions"
"urllib3","1.26.20","MIT License","https://urllib3.readthedocs.io/"
"uvicorn","0.39.0","BSD-3-Clause","https://uvicorn.dev/"
"uvloop","0.22.1","Apache Software License; MIT License","UNKNOWN"
"watchfiles","1.1.1","MIT License","https://github.com/samuelcolvin/watchfiles"
"websockets","15.0.1","BSD License","https://github.com/python-websockets/websockets"
"xmltodict","1.0.4","MIT","https://github.com/martinblech/xmltodict"
"zipp","3.23.0","MIT","https://github.com/jaraco/zipp"
